FineNeighborhood,CommunityAreaName
Albany Park,Albany Park
Andersonville,Edgewater
Archer Heights,Archer Heights
Armour Square,Armour Square
Ashburn,Ashburn
Auburn Gresham,Auburn Gresham
Austin,Austin
Avalon Park,Avalon Park
Avondale,Avondale
Belmont Cragin,Belmont Cragin
Beverly,Beverly
Boystown,Lake View
Bridgeport,Bridgeport
Brighton Park,Brighton Park
Bucktown,Logan Square
Burnside,Burnside
Calumet Heights,Calumet Heights
Chatham,Chatham
Chicago Lawn,Chicago Lawn
Chinatown,Armour Square
Clearing,Clearing
Douglas,Douglas
Dunning,Dunning
East Side,East Side
East Village,West Town
Edgewater,Edgewater
Edison Park,Edison Park
Englewood,Englewood
Fuller Park,Fuller Park
Gage Park,Gage Park
Galewood,Austin
Garfield Park,West Garfield Park
Garfield Ridge,Garfield Ridge
Gold Coast,Near North Side
Grand Boulevard,Grand Boulevard
Grand Crossing,Greater Grand Crossing
Grant Park,The Loop
Greektown,West Town
Hegewisch,Hegewisch
Hermosa,Hermosa
Humboldt Park,Humboldt Park
Hyde Park,Hyde Park
Irving Park,Irving Park
Jackson Park,Woodlawn
Jefferson Park,Jefferson Park
Kenwood,Kenwood
Lake View,Lake View
Lincoln Park,Lincoln Park
Lincoln Square,Lincoln Square
"Little Italy, UIC",Near West Side
Little Village,South Lawndale
Logan Square,Logan Square
Loop,The Loop
Lower West Side,Lower West Side
Magnificent Mile,Near North Side
Mckinley Park,Mckinley Park
Millenium Park,The Loop
Montclare,Montclare
Morgan Park,Morgan Park
Mount Greenwood,Mount Greenwood
Museum Campus,Near South Side
Near South Side,Near South Side
New City,New City
North Center,North Center
North Lawndale,North Lawndale
North Park,North Park
Norwood Park,Norwood Park
O'Hare,O'Hare
Oakland,Oakland
Old Town,Lincoln Park
Portage Park,Portage Park
Printers Row,The Loop
Pullman,Pullman
River North,Near North Side
Riverdale,Riverdale
Rogers Park,Rogers Park
Roseland,Roseland
Rush & Division,Near North Side
"Sauganash,Forest Glen",Forest Glen
Sheffield & DePaul,Lincoln Park
South Chicago,South Chicago
South Deering,South Deering
South Shore,South Shore
Streeterville,Near North Side
Ukrainian Village,West Town
United Center,Near West Side
Uptown,Uptown
Washington Heights,Washington Heights
Washington Park,Washington Park
West Elsdon,West Elsdon
West Lawn,West Lawn
West Loop,The Loop
West Pullman,West Pullman
West Ridge,West Ridge
West Town,West Town
Wicker Park,West Town
Woodlawn,Woodlawn
Wrigleyville,Lake View
